Site,ACD_LOCATION,IDM_EIR_site,COUNTRY,INC,INC_LAR,INC_UAR,INTERVENTION,EIR,EIR_FOR_SIM,EIR_FOR_SIM_V2,EIR_FOR_SIM_V3,SEASON_FOR_SIM,SIM_RUN_PRIORITY,START_YEAR,PI_ID,INC_AUTHOR,INC_PUBYEAR,GRIFFIN,CAMERON,LAT,LONG,START_MONTH,END_MONTH,END_YEAR,TIME,TIME_CAT,FREQ_ACD,FREQ_ACD_NUM,PCD,POP,d,PYO,PYO_APPR,DIAGNOSTIC,CLINICAL_DEF,CASE_DENS_THRESH,PR_AUTHOR,PR_PUBYEAR,PR_MONTH,PR_YEAR,N_SURVEYS,PR_LAR,PR_UAR,AGE_MATCH,N,N_POS,N_POS_ADJ,PR,PR_DIAGNOSTIC,PapPR_Stand,PR_Stand,PMID,PR_PMID
chonyi_1999,Chonyi,Kilifi_South,Kenya,99,20,39,None,22-53,34,5,4,highSeason,1,1999,5511_32,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,164,33,328,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,20,30,0,NA,NA,NA,0.2052,Microscopy,0.196047897,0.196047897,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,29,40,59,None,22-53,34,5,4,highSeason,1,1999,5511_33,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,140,8,280,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,30,40,0,NA,NA,NA,0.1966,Microscopy,0.18250169,0.18250169,15871128,
chonyi_1999,Chonyi,Kilifi_South,Kenya,48,60,85,None,22-53,34,5,4,highSeason,1,1999,5511_34,Mwangi,2005,Yes,Yes,-3.7231,39.7249,5,5,2001,2,24 mo,Weekly,7,Yes,47,5,94,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,60,85,1,NA,NA,NA,0.2688,Microscopy,0.2688,0.2688,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,862,0,1,None,10,10,5,5,highSeason,1,1999,5511_02,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,44,73,87.21,0,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,0,1,1,NA,NA,NA,0.1023,Microscopy,0.1023,0.1023,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1408,1,2,None,10,10,5,5,highSeason,1,1999,5511_03,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,19,54,38,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,1,2,1,NA,NA,NA,0.1616,Microscopy,0.1616,0.1616,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1574,2,3,None,10,10,5,5,highSeason,1,1999,5511_04,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,20,63,40,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,2,3,1,NA,NA,NA,0.3489,Microscopy,0.3489,0.3489,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1462,3,4,None,10,10,5,5,highSeason,1,1999,5511_05,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,20,58,40,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,3,4,1,NA,NA,NA,0.357,Microscopy,0.357,0.357,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1541,4,5,None,10,10,5,5,highSeason,1,1999,5511_06,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,20,62,40,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,4,5,1,NA,NA,NA,0.3653,Microscopy,0.3653,0.3653,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1513,5,6,None,10,10,5,5,highSeason,1,1999,5511_07,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,20,61,40,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,5,6,1,NA,NA,NA,0.3907,Microscopy,0.3907,0.3907,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1658,6,7,None,10,10,5,5,highSeason,1,1999,5511_08,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,22,73,44,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,6,7,1,NA,NA,NA,0.4118,Microscopy,0.4118,0.4118,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,1073,7,8,None,10,10,5,5,highSeason,1,1999,5511_09,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,22,47,44,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,7,8,1,NA,NA,NA,0.4158,Microscopy,0.4158,0.4158,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,924,8,9,None,10,10,5,5,highSeason,1,1999,5511_10,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,23,43,46,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,8,9,1,NA,NA,NA,0.3857,Microscopy,0.3857,0.3857,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,765,9,10,None,10,10,5,5,highSeason,1,1999,5511_11,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,23,35,46,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,9,10,1,NA,NA,NA,0.3342,Microscopy,0.3342,0.3342,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,501,10,11,None,10,10,5,5,highSeason,1,1999,5511_12,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,23,23,46,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,10,11,1,NA,NA,NA,0.3085,Microscopy,0.3085,0.3085,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,425,11,14,None,10,10,5,5,highSeason,1,1999,5511_13,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,103,88,206,1,Microscopy,Fever >=37.5 C + positive blood film,2500,Mwangi,2003,7,1999,1,12,15,0,NA,NA,NA,0.2185,Microscopy,0.224096334,0.224096334,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,377,15,19,None,10,10,5,5,highSeason,1,1999,5511_14,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,88,66,176,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,15,19,1,NA,NA,NA,0.231,Microscopy,0.231,0.231,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,106,20,39,None,10,10,5,5,highSeason,1,1999,5511_15,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,173,37,346,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,20,30,0,NA,NA,NA,0.2266,Microscopy,0.216493438,0.216493438,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,47,40,59,None,10,10,5,5,highSeason,1,1999,5511_16,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,148,14,296,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,30,40,0,NA,NA,NA,0.1966,Microscopy,0.18250169,0.18250169,15871128,
ngerenya_1999,Ngerenya,Kilifi_North,Kenya,48,60,85,None,10,10,5,5,highSeason,1,1999,5511_17,Mwangi,2005,Yes,Yes,-3.5153,39.8376,5,5,2001,2,24 mo,Weekly,7,Yes,51,5,102,1,Microscopy,Fever >=37.5 C + positive blood film,1,Mwangi,2003,7,1999,1,60,85,1,NA,NA,NA,0.0511,Microscopy,0.0511,0.0511,15871128,
dielmo_1990,Dielmo,Dielmo,Senegal,3269,0,1,None,200,200,200,250,midSeason,1,1990,11288_23,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,13,127,39,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,30,0,1,0,330,223,223,0.676,Microscopy,0.594948229,0.676,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,5065,1,2,None,200,200,200,250,midSeason,1,1990,11288_24,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,152,30,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,37,1,2,0,439,334,334,0.761,Microscopy,0.761,0.761,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,6132,2,3,None,200,200,200,250,midSeason,1,1990,11288_25,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,184,30,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,36,2,4,0,1126,1043,1043,0.926,Microscopy,0.926,0.926,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,4833,3,4,None,200,200,200,250,midSeason,1,1990,11288_26,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,145,30,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,36,5,9,0,1362,1208,1208,0.887,Microscopy,0.887,0.887,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,3187,4,5,None,200,200,200,250,midSeason,1,1990,11288_27,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,96,30,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,36,10,14,0,930,861,861,0.926,Microscopy,0.926,0.926,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,2681,5,6,None,200,200,200,250,midSeason,1,1990,11288_28,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,80,30,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,35,15,19,0,773,596,596,0.771,Microscopy,0.771,0.771,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,2615,6,7,None,200,200,200,250,midSeason,1,1990,11288_29,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,14,110,42,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,34,20,39,0,2045,1198,1198,0.586,Microscopy,0.586,0.586,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,1944,7,8,None,200,200,200,250,midSeason,1,1990,11288_30,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,14,82,42,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,33,40,59,0,920,434,434,0.472,Microscopy,0.472,0.472,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,1171,8,9,None,200,200,200,250,midSeason,1,1990,11288_31,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,14,49,42,1,Microscopy,Assuming fever + any parasitemia,1,Trape,1994,"6,7,8,9",1990,35,60,85,0,614,247,247,0.402,Microscopy,0.402,0.402,15275204,8074247
dielmo_1990,Dielmo,Dielmo,Senegal,838,9,10,None,200,200,200,250,midSeason,1,1990,11288_32,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,14,35,42,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.113732378,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,570,10,11,None,200,200,200,250,midSeason,1,1990,11288_33,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,17,30,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.110293259,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,259,11,12,None,200,200,200,250,midSeason,1,1990,11288_34,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,8,30,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.10708785,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,114,12,13,None,200,200,200,250,midSeason,1,1990,11288_35,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,3,30,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.104100268,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,265,13,14,None,200,200,200,250,midSeason,1,1990,11288_36,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,8,30,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.101315713,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,438,14,15,None,200,200,200,250,midSeason,1,1990,11288_37,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,10,13,30,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.098720387,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,423,15,20,None,200,200,200,250,midSeason,1,1990,11288_38,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,42,53,126,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.092066282,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,256,20,25,None,200,200,200,250,midSeason,1,1990,11288_39,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,32,25,96,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.083459827,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,263,25,30,None,200,200,200,250,midSeason,1,1990,11288_40,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,27,21,81,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.077439758,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,226,30,40,None,200,200,200,250,midSeason,1,1990,11288_41,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,42,28,126,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.07186902,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,153,40,50,None,200,200,200,250,midSeason,1,1990,11288_42,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,29,13,87,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.067503601,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,167,50,60,None,200,200,200,250,midSeason,1,1990,11288_43,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,21,11,63,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.065273457,15275204,
dielmo_1990,Dielmo,Dielmo,Senegal,188,60,85,None,200,200,200,250,midSeason,1,1990,11288_44,Trape,1996,Yes,Yes,13.7167,-16.4167,7,6,1993,3,>24 mo,Daily,1,No,9,5,27,1,Microscopy,Assuming fever + any parasitemia,1,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,0.063907857,15275204,
dielmo_2007,Dielmo,Dielmo,Senegal,1072.29,0,4,None,155,155,5,3,midSeason,1,2007,1352_01,Trape,2011,No,Yes,13.7167,-16.4167,1,8,2008,1.58,13-23 mo,Every 2nd day,2,Yes,NA,112,104.4493,0,Microscopy,Threshold for P. falciparum attacks ranged from a maximum of 175 trophozoites per 100 leucocytes in children aged 2 years (about 14 000 parasites per uL of blood) to a minimum of seven in adults aged 60 years or older (about 580 parasites per uL of blood) . Case density threshold is an average based on the max and min of clinical defintion.,7000,Same,Same,10,2007,1,0,4,1,NA,NA,NA,0.1,Microscopy,0.1,0.1,21856232,
dielmo_2007,Dielmo,Dielmo,Senegal,1390.03,5,9,None,155,155,5,3,midSeason,1,2007,1352_02,Trape,2011,No,Yes,13.7167,-16.4167,1,8,2008,1.58,13-23 mo,Every 2nd day,2,Yes,NA,130,93.5233,0,Microscopy,Threshold for P. falciparum attacks ranged from a maximum of 175 trophozoites per 100 leucocytes in children aged 2 years (about 14 000 parasites per uL of blood) to a minimum of seven in adults aged 60 years or older (about 580 parasites per uL of blood) . Case density threshold is an average based on the max and min of clinical defintion.,7000,Same,Same,10,2007,1,5,9,1,NA,NA,NA,0.16,Microscopy,0.16,0.16,21856232,
dielmo_2007,Dielmo,Dielmo,Senegal,662.1,10,14,None,155,155,5,3,midSeason,1,2007,1352_03,Trape,2011,No,Yes,13.7167,-16.4167,1,8,2008,1.58,13-23 mo,Every 2nd day,2,Yes,NA,54,81.5589,0,Microscopy,Threshold for P. falciparum attacks ranged from a maximum of 175 trophozoites per 100 leucocytes in children aged 2 years (about 14 000 parasites per uL of blood) to a minimum of seven in adults aged 60 years or older (about 580 parasites per uL of blood) . Case density threshold is an average based on the max and min of clinical defintion.,7000,Same,Same,10,2007,1,10,14,1,NA,NA,NA,0.39,Microscopy,0.39,0.39,21856232,
